Publication Title,start date,end date,coverage notes,publication type
Harangue de sa Majeste la Reine de Grande Bretagne,1712-06-17,1712-06-17,"Pamphlet; The Hague, Netherlands",
Harlem Currant,1689-02-14,1689-02-14,"Newspaper; London, England",serial
Harlem's Courant,1695-05-28,1695-05-28,"Newspaper; London, England",serial
Heads of a Conference Delivered by Mr Pymm,1641-06-24,1641-06-24,"Pamphlet; London, England",
Heads of Severall Proceedings in This Present Parliament,1641-12-13,1642-01-10,"Newsbook; London, England",serial
Heads of Some Notes of the Citie Scout from the Armie,1645-08-19,1645-09-02,"Newsbook; London, England",serial
Her Majesty's Letter to the Archbishop of Canterbury,1711-01-01,1711-12-31,"Broadside; London, England",serial
Hermes Straticus,1648-08-17,1648-08-17,"Newsbook; London, England",serial
Hermit (Cumulation),1711-08-04,1712-02-23,"Serial; London, England",serial
Hibernian Journal or Chronicle of Liberty,1790-02-24,1790-02-24,"Newspaper; Dublin, Ireland",serial
High Mass A Poem,1746-10-11,1746-10-11,"Pamphlet; London, England",
His Excellencies Letter to the House of Commons,1647-01-01,1647-12-31,"Broadside; London, England",serial
His Grace the Duke of Marlborough's Letter to the States General Concerning His March,1705-08-01,1705-08-31,"Broadside; London, England",serial
His Maiesties Declaration Touching His Proceedings in the Late Assemblie and Convention of Parliament,1622-01-01,1622-12-31,"Monograph; London, England",monograph
His Maiesties Speach in the Starre-Chamber the XX of Iune Anno 1616,1616-06-20,1616-06-20,"Monograph; London, England",monograph
His Majesties Declaration to All His Subjects,1647-12-20,1647-12-20,"Pamphlet; London, England",
His Majesties Declaration to Both Houses of Parliament,1642-03-09,1642-03-09,"Pamphlet; London, England",
His Majesties Letter to the Gentry of Yorkshire,1642-05-16,1642-05-16,"Broadside; London, England",serial
His Majesties Letter to the Mayor of Kingston Upon Hull,1642-04-25,1642-04-25,"Broadside; London, England",serial
His Majesties Most Gracious Speech to Both Houses of Parliament,1722-10-11,1722-10-11,"Pamphlet; London, England",
His Majesties Proclamation in Scotland,1639-01-01,1639-12-31,"Monograph; London, England",monograph
His Majesty's Message under His Royal Sign Manual,1722-11-17,1722-11-17,"Pamphlet; London, England",
His Majesty's Most Gracious Message to the Right Honourable the Lords,1744-02-15,1744-02-15,"Pamphlet; London, England",
His Majesty's Most Gracious Speech to Both Houses of Parliament (13 November 1770),1770-11-13,1770-11-13,"Pamphlet; London, England",
His Majesty's Most Gracious Speech to Both Houses of Parliament (18 November 1760),1760-11-18,1760-11-18,"Broadside; London, England",serial
His Majesty's Most Gracious Speech to Both Houses of Parliament (29 June 1798),1798-06-29,1798-06-29,"Pamphlet; London, England",
His Majesty's Most Gracious Speech to Both Houses of Parliament (8 May 1771),1771-05-08,1771-05-08,"Pamphlet; London, England",
His Majesty's Most Gracious Speech to Both Houses of Parliament on Munday the Twenty Seventh Day of May 1723,1723-05-27,1723-05-27,"Pamphlet; London, England",
His Majesty's Most Gracious Speech to Both Houses of Parliament on Saturday July 3 1779,1779-07-03,1779-07-03,"Pamphlet; London, England",
His Majesty's Most Gracious Speech to Both Houses of Parliament on Thursday January 13 1774,1774-01-13,1774-01-13,"Pamphlet; London, England",
His Majesty's Most Gracious Speech to Both Houses of Parliament on Thursday May 19 1796,1796-05-19,1796-05-19,"Pamphlet; London, England",
His Majesty's Most Gracious Speech to Both Houses of Parliament on Thursday May 23 1776,1776-05-23,1776-05-23,"Pamphlet; London, England",
His Majesty's Most Gracious Speech to Both Houses of Parliament on Thursday November 20 1777,1777-11-20,1777-11-20,"Pamphlet; London, England",
His Majesty's Most Gracious Speech to Both Houses of Parliament on Thursday October 6 1796,1796-10-06,1796-10-06,"Pamphlet; London, England",
His Majesty's Most Gracious Speech to Both Houses of Parliament on Thursday the First Day of December 1743,1743-12-01,1743-12-01,"Pamphlet; London, England",
His Majesty's Most Gracious Speech to Both Houses of Parliament on Thursday the Second Day of May 1745,1745-05-02,1745-05-02,"Pamphlet; London, England",
Historical Account of the Publick Transactions in Christendom,1694-08-18,1695-06-11,"Newspaper; London, England",serial
History of Cradle Convulsions,1701-09-01,1701-09-30,"Serial; London, England",serial
History of Popery,1681-12-16,1682-08-18,"Serial; London, England",serial
History of the Athenian Society,1691-03-17,1691-03-17,"Pamphlet; London, England",
History of the Protestant Reformation,1680-01-01,1680-12-31,"Pamphlet; London, England",
Hoey's Dublin Mercury,1770-09-04,1771-12-28,"Newspaper; Dublin, Ireland",serial
Holland Pacquet Boat,1695-06-15,1695-06-15,"Newspaper; London, England",serial
Honest Gentleman,1719-02-25,1719-02-25,"Serial; London, England",serial
Honest True Briton,1724-04-17,1724-06-15,"Serial; London, England",serial
Honour and Prerogative of the Queen's Majesty Vindicated and Defended,1713-01-01,1713-12-31,"Pamphlet; London, England",
How Do You Do?,1796-07-30,1796-11-05,"Serial; London, England",serial
Hudsons Bay Company Will Expose to Sale by the Candle (10 December 1684),1684-12-10,1684-12-10,"Pamphlet; London, England",
Hudsons Bay Company Will Expose to Sale by the Candle (15 November 1682),1682-11-15,1682-11-15,"Pamphlet; London, England",
Hudsons Bay Company Will Expose to Sale by the Candle (18 March 1685),1685-03-18,1685-03-18,"Pamphlet; London, England",
Hue and Cry after Mercurius Democritis and the Wandring Whore,1661-01-01,1661-12-31,"Pamphlet; London, England",
Humanist (1757),1757-03-26,1757-05-07,"Serial; London, England",serial
Humble Address of the Arch-Bishop President of the Convocation,1722-10-31,1722-10-31,"Pamphlet; London, England",
Humble Address of the Protestant Dissenting Ministers,1722-11-20,1722-11-20,"Pamphlet; London, England",
Humble Address of the Right Honourable the Lords (14 November 1770),1770-11-14,1770-11-14,"Pamphlet; London, England",
Humble Address of the Right Honourable the Lords (22 January 1772),1772-01-01,1772-12-31,"Pamphlet; London, England",
Humble Address of the Right Honourable the Lords (30 November 1748),1748-01-01,1748-12-31,"Pamphlet; London, England",
Humble Address of the Right Honourable the Lords Spiritual and Temporal...Friday the Second Day of December 1743,1743-12-02,1743-12-10,"Pamphlet; London, England",
Humble Address of the Right Honourable the Lords Spiritual and Temporal...Wednesday the Fourth Day of April,1744-04-03,1744-04-03,"Pamphlet; London, England",
Humble Petition of the Lord Major Aldermen and Commons of the City of London,1647-06-08,1647-06-08,"Pamphlet; London, England",
Humble Petition of the Lord Mayor Aldermen and Commons of the City of London,1648-04-27,1648-04-27,"Pamphlet; London, England",
Hunter Hunted,1728-12-16,1728-12-16,"Pamphlet; London, England",
Hyp Doctor,1735-05-06,1736-03-30,"Serial; London, England",serial
Impartial Intelligencer Communicating A Perfect Collection of the Weekly Passages in Parliament,1649-06-13,1649-06-13,"Newsbook; London, England",serial
Impartial London Intelligence Or Occurences Foreign and Domestick,1681-04-04,1681-04-11,"Newspaper; London, England",serial
Impartial Protestant Mercury,1681-05-31,1682-05-26,"Newspaper; London, England",serial
Impartial Protestant Mercury Or Occurrences Foreign and Domestick,1681-05-07,1681-05-23,"Newspaper; London, England",serial
Impartial Scout,1650-06-28,1650-07-12,"Newsbook; London, England",serial
Independent Chronicle,1769-10-04,1769-10-13,"Newspaper; London, England",serial
Independent Chronicle or Freeholders Evening Post,1769-10-16,1770-05-18,"Newspaper; London, England",serial
Independent Whig,1720-01-20,1721-01-04,"Newspaper; London, England",serial
India Gazette,1790-02-15,1790-08-16,"Newspaper; Calcutta, India",serial
Informator Rusticus or The Countrey Intelligencer,1643-10-27,1643-10-27,"Newsbook; London, England",serial
Inquisitor,1724-07-15,1724-07-15,"Serial; London, England",serial
Instructor,1724-01-29,1724-02-12,"Serial; London, England",serial
Intelligence Domestick and Foreign,1695-05-14,1695-06-04,"Newspaper; London, England",serial
Intelligence Domestick and Foreign with the Flying Post Boy from the Camp in Flanders,1695-06-07,1695-06-25,"Newspaper; London, England",serial
Intelligencer Published for the Satisfaction and Information of the People,1663-08-31,1665-12-25,"Newspaper; London, England",serial
Irish Monthly Mercury,1649-12-21,1650-01-25,"Newsbook; London, England",serial
Jackson's Oxford Journal,1762-04-03,1769-06-24,"Newspaper; Oxford, England",serial
Jacobite's Journal,1747-12-05,1748-11-05,"Serial; London, England",serial
January 12 Numb 6 The Continuation of Our Weekely Avisoes,1632-01-12,1632-01-12,"Newsbook; London, England",serial
Jesting Astrologer or The Merry Observator,1701-02-24,1701-02-24,"Serial; London, England",serial
Jesuite,1719-08-15,1719-10-03,"Serial; London, England",serial
John Wilkes Esq Plaintiff in Error,1771-05-11,1771-05-11,"Pamphlet; London, England",
Joint Adventurer,1711-01-01,1711-12-31,"Broadside; London, England",serial
Jos Blis's Exeter Post Boy,1711-05-04,1711-05-04,"Newspaper; Exeter, England",serial
Journal de l'Europe,1789-08-04,1789-09-25,"Newspaper; London, England",serial
Journal de Paris,1784-04-24,1784-04-24,"Newspaper; Paris, France",serial
July 22 Numb 41 More Newes of the Duke of Brunswick,1623-07-22,1623-07-22,"Newsbook; London, England",serial
July 29 Numb 42 More Newes of the Good Successe of The Duke of Brunswicke,1623-07-29,1623-07-29,"Newsbook; London, England",serial
Kensington May 21 1706,1706-05-21,1706-05-21,"Broadside; London, England",serial
Kingdomes Intelligencer,1660-12-31,1663-08-17,"Newsbook; London, England",serial
Kingdomes Weekly Intelligencer,1643-01-10,1646-11-24,"Newsbook; London, England",serial
Kingdomes Weekly Post (1643),1644-01-03,1644-01-03,"Newsbook; London, England",serial
Kingdomes Weekly Post (1645),1645-11-18,1645-12-02,"Newsbook; London, England",serial
Kings Maiesties Speech As It Was Delivered by Him in the Upper House of the Parliament,1604-03-19,1604-03-19,"Pamphlet; London, England",
Last Will and Testament of the Earl of Pembroke,1650-01-01,1650-12-31,"Pamphlet; London, England",
Late Proceedings of the Scotish Army,1644-03-21,1644-04-14,"Newsbook; London, England",serial
Leeds Intelligencer,1790-09-14,1790-09-14,"Newspaper; Leeds, England",serial
Leicester Herald,1793-01-12,1793-02-02,"Newspaper; Leicester, England",serial
Letter from a Country Gentleman to an Eminent But Easy Citizen,1681-09-29,1681-09-29,"Broadside; London, England",serial
Letter from on Board the York Frigat Now with Admiral Herbert,1689-05-04,1689-05-04,"Broadside; London, England",serial
Letter from the Right Honourable Sir Thomas Rowe Extraordinary Embassadour for His Majestie at Vienna,1642-07-18,1642-07-18,"Broadside; London, England",serial
Letter from the States General to the Queen of Great Britain,1712-12-31,1712-12-31,"Broadside; London, England",serial
Leycesters Common Wealth,1641-07-17,1641-07-17,"Monograph; London, England",monograph
Limerick Chronicle,1775-11-23,1775-11-23,"Newspaper; Limerick, Ireland",serial
List of Private Trade Drugs to Be Sold by the East India Company,1785-01-01,1785-12-31,"Form; London, England",serial
List of Those Worthy Patriots,1705-10-11,1705-10-11,"Broadside; Oxford, England",serial
Liste de Chargements des Navires Suivans,1785-01-01,1785-12-31,"Monograph; London, England",monograph
Literary Courier of Grub Street,1738-02-02,1738-05-18,"Serial; London, England",serial
Literary Fly,1779-01-18,1779-05-08,"Serial; London, England",serial
Liverpool General Advertiser,1785-08-04,1785-08-04,"Newspaper; Liverpool, England",serial
Lloyd's Evening Post,1757-07-22,1797-12-29,"Newspaper; London, England",serial
Lloyd's Evening Post and British Chronicle,1763-03-28,1804-04-18,"Newspaper; London, England",serial
Lloyd's List (1696),1696-12-08,1696-12-08,"Newspaper; London, England",serial
Lloyd's News,1751-03-04,1751-04-17,"Newspaper; London, England",serial
London Advertiser and Literary Gazette,1739-09-27,1742-02-04,"Serial; London, England",serial
London and Country Journal (1739 1st Thursday Edition),1739-06-06,1739-10-17,"Serial; London, England",serial
London and Country Journal (1739 1st Wednesday Edition),1739-02-20,1741-12-22,"Serial; London, England",serial
London and Country Journal (1739 Tuesday Edition),1742-06-18,1742-06-25,"Serial; London, England",serial
London and Country Journal (1741 Friday Edition),1742-06-18,1742-06-25,"Serial; London, England",serial
London Chronicle,1768-12-31,1799-06-27,"Newspaper; London, England",serial
London Chronicle (Semi-Annual),1757-01-01,1776-12-28,"Newspaper; London, England",serial
London Chronicle or Universal Evening Post,1757-12-31,1800-12-27,"Newspaper; London, England",serial
London Courant (1688),1689-01-05,1689-01-05,"Newspaper; London, England",serial
London Courant (1745),1745-12-19,1783-05-10,"Newspaper; London, England; some gaps in coverage, holdings as follows: 19/12/1745; 01/01/1747-21/12/1747; 25/11/1779-08/10/1781; 10/10/1781-10/05/1782; 09/04/1782-10/05/1783",serial
London Daily Advertiser,1751-11-25,1753-06-30,"Newspaper; London, England",serial
London Daily Advertiser and Literary Gazette,1751-04-18,1751-11-23,"Newspaper; London, England",serial
London Daily Post and General Advertiser,1734-11-04,1744-03-10,"Newspaper; London, England",serial
London Evening Post,1727-12-12,1799-04-20,"Newspaper; London, England",serial
London Evening Post Extraordinary,1773-01-01,1773-12-31,"Broadside; London, England",serial
London Farthing-Post,1738-12-18,1738-12-18,"Newspaper; London, England",serial
London Gazette,1666-02-01,1792-09-25,"Newspaper; London, England",serial
London Gazette Extraordinary,1745-12-05,1799-10-22,"Newspaper; London, England",serial
London Gazette: Supplements,1695-08-29,1695-08-29,"Newspaper; London, England",serial
London Gazette: Supplements - Hampton Court August 31 1718,1718-12-17,1718-12-17,"Newspaper; London, England",serial
London Gazette: Supplements - St James's May 16 1706,1706-05-25,1706-05-25,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall April 18 1705,1705-08-03,1705-08-03,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall April 26 1746,1747-06-27,1747-06-27,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall August 10 1704,1704-08-13,1704-08-13,"Broadside; London, England",serial
London Gazette: Supplements - Whitehall August 18 1705,1705-08-21,1705-08-21,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall August 21 1705,1706-03-14,1706-03-14,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall August 29 1695,1696-06-08,1696-06-08,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall August 3 1705,1705-08-18,1705-08-18,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall December 17 1718,1720-01-30,1720-01-30,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall December 9 1712,1718-08-31,1718-08-31,"Broadside; London, England",serial
London Gazette: Supplements - Whitehall February 26 1711/12,1712-07-10,1712-07-10,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall February 5 1746,1746-04-26,1746-04-26,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall January 30 1719/20,1722-05-09,1722-05-09,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall July 10 1712,1712-12-09,1712-12-09,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall July 28 1711,1711-09-11,1711-09-11,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall July 5 1706,1711-07-28,1711-07-28,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall June 23 1743,1743-06-29,1743-06-29,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall June 27 1747,1748-12-23,1752-10-20,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall June 29 1743,1743-06-29,1745-05-11,"Newspaper; London, England; includes 29/06/1743 and 11/05/1745 supplements only",serial
London Gazette: Supplements - Whitehall June 6 1704,1704-08-10,1704-08-10,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall June 8 1696,1702-10-23,1702-10-23,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall March 14 1706,1706-05-16,1706-05-16,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall May 11 1745,1746-02-05,1746-02-05,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall May 25 1706,1706-05-28,1706-05-28,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall May 28 1706,1706-07-05,1706-07-05,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall May 9 1722,1743-06-23,1743-06-23,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall October 12 1703,1704-06-06,1704-06-06,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall October 23 1702,1703-10-12,1703-10-12,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall October 27 1704,1705-04-18,1705-04-18,"Newspaper; London, England",serial
London Gazette: Supplements - Whitehall September 11 1711,1712-02-26,1712-02-26,"Newspaper; London, England",serial
London Gazette: Supplements - Windsor August 13 1704,1704-10-27,1704-10-27,"Newspaper; London, England",serial
London Gazetteer,1799-02-06,1799-02-13,"Newspaper; London, England",serial
London Herald and Evening Post,1689-01-15,1689-02-12,"Newspaper; London, England",serial
London Intelligence,1720-05-21,1734-12-28,"Newspaper; London, England",serial
London Journal (1720),1768-07-30,1768-12-31,"Newspaper; London, England",serial
London Journal (1768),1743-12-24,1744-03-17,"Newspaper; London, England",serial
London Journal and Country Craftsman,1705-06-28,1705-06-28,"Pamphlet; London, England",
London June 28 1705 Sir from the Imperial Camp at Lauterburg,1705-05-29,1705-05-29,"Pamphlet; London, England",
London May 29 1705 Sir Madrid May 13,1704-05-06,1704-05-06,"Pamphlet; London, England",
London May 6 1704 Sir Last Night Arrived a Holland Mail,1682-06-08,1682-06-08,"Newspaper; London, England",serial
London Mercury,1721-03-25,1721-03-25,"Newspaper; London, England",serial
London Mercury or Great Britain's Weekly Journal,1688-12-15,1689-02-11,"Newspaper; London, England",serial
London Mercury or Moderate Intelligencer,1741-09-04,1741-12-18,"Newspaper; London, England",serial
London Morning Advertiser (1742),1742-12-17,1743-05-04,"Newspaper; London, England",serial
London Morning Penny Post,1751-05-03,1751-10-14,"Newspaper; London, England",serial
London News-Letter with Foreign and Domestick Occurrences,1696-04-29,1696-06-19,"Newspaper; London, England",serial
London Packet or New Evening Post,1771-04-05,1772-04-08,"Newspaper; London, England",serial
London Packet or New Lloyd's Evening Post,1772-04-15,1800-12-29,"Newspaper; London, England",serial
London Post (1644),1644-09-10,1645-01-01,"Newsbook; London, England",serial
London Post (1705),1705-04-06,1705-06-06,"Newspaper; London, England",serial
London Post (1715),1716-01-07,1716-01-14,"Newspaper; London, England",serial
London Post or The Tradesman's Intelligence,1717-11-22,1717-12-16,"Newspaper; London, England",serial
London Post with Intelligence Foreign and Domestick,1699-06-30,1704-04-14,"Newspaper; London, England",serial
London Price Current,1789-09-11,1789-10-09,"Newspaper; London, England",serial
London Recorder or Sunday Gazette,1783-07-27,1795-03-22,"Newspaper; London, England",serial
London Spy and Read's Weekly Journal,1761-07-04,1761-07-11,"Newspaper; London, England",serial
London Spy Revived,1736-08-06,1738-03-15,"Newspaper; London, England",serial
London Tatler,1736-06-26,1737-01-01,"Newspaper; London, England",serial
Londons Diurnal,1660-02-01,1660-02-01,"Newsbook; London, England",serial
Lounger,1785-02-05,1787-01-06,"Newspaper; Edinburgh, Scotland",serial
Lover,1714-02-25,1714-04-29,"Serial; London, England",serial
Loyal Intelligence or News Both from City and Country,1680-03-16,1680-03-31,"Newspaper; London, England",serial
Loyal London Mercury or the Moderate Intelligencer,1682-06-14,1682-06-14,"Newspaper; London, England",serial
Loyal Observator Revived or Gaylard's Journal,1723-03-30,1723-03-30,"Serial; London, England",serial
Loyal Protestant and True Domestick Intelligence,1681-03-09,1683-03-20,"Newspaper; London, England",serial
Lucubrations of Isaac Bickerstaff,1709-04-12,1710-12-30,"Serial; London, England",serial
Ludlow Post Man or the Weekly Journal,1719-10-09,1720-03-04,"Newspaper; Ludlow, England",serial
Lying Intelligencer,1763-01-23,1763-01-23,"Serial; London, England",serial
Madras Courier,1786-01-25,1786-01-25,"Newspaper; Madras, India",serial
Man (1755),1755-01-01,1755-12-31,"Serial; London, England",serial
Man in the Moon (1649),1649-04-16,1649-06-27,"Newsbook; London, England",serial
Man in the Moon (1663),1663-05-05,1663-05-05,"Newsbook; London, England",serial
Manchester Gazette and Weekly Advertiser,1796-04-16,1796-04-16,"Newspaper; Manchester, England",serial
Manchester Herald,1793-01-26,1793-01-26,"Newspaper; Manchester, England",serial
Manchester Mercury and Harrop's General Advertiser,1779-11-16,1779-11-16,"Newspaper; Manchester, England",serial
Maryland Gazette (1727),1729-04-22,1729-07-15,"Newspaper; Annapolis, United States",serial
Maryland Gazette (1745),1749-05-10,1749-05-10,"Newspaper; Annapolis, United States",serial
Master Bagshaw His Worthy Speech in Parliament,1642-02-18,1642-02-18,"Pamphlet; London, England",
Master Grimstons Argument Concerning Bishops,1641-07-16,1641-07-16,"Pamphlet; London, England",
Master Hollis His Speech in Parliament,1642-01-05,1642-01-05,"Pamphlet; London, England",
Medley,1710-10-05,1712-08-01,"Newspaper; London, England",serial
Mercator tr Commerce Retrieved,1713-05-26,1714-07-17,"Newspaper; London, England",serial
Mercurius &c,1644-01-17,1644-01-31,"Newsbook; London, England",serial
Mercurius Academicus,1648-04-10,1648-04-10,"Newsbook; London, England",serial
Mercurius Anglicus,1648-07-27,1648-07-27,"Newsbook; London, England",serial
Mercurius Anglicus or A Post from the North,1644-01-31,1644-01-31,"Newsbook; London, England",serial
Mercurius Anglicus or The Weekly Occurrences Faithfully Transmitted,1679-11-13,1679-12-20,"Newspaper; London, England",serial
Mercurius Anti-Melanchollicus or Newes from Westminster and All Other Parts,1647-09-18,1647-09-18,"Newsbook; London, England",serial
Mercurius Anti-Mercurius,1648-09-12,1648-09-26,"Newsbook; London, England",serial
Mercurius Anti-Pragmaticus,1647-10-12,1648-01-27,"Newsbook; London, England",serial
Mercurius Aquaticus or The Water Poets Answer to All That Hath Or Shall Be Writ by Mercurius Britanicus,1644-01-01,1644-12-31,"Pamphlet; Oxford, England",
Mercurius Aulicus (1643: London),1643-01-01,1644-10-27,"Newsbook; London, England",serial
Mercurius Aulicus (1643: Oxford),1643-01-01,1645-02-23,"Newsbook; Oxford, England",serial
Mercurius Aulicus (1654),1654-03-13,1654-03-20,"Newsbook; London, England",serial
Mercurius Aulicus (August 1648),1648-08-07,1648-08-07,"Newsbook; London, England",serial
Mercurius Aulicus (February 1648),1648-02-03,1648-05-11,"Newsbook; London, England",serial
Mercurius Bellicus or An Alarum to All Rebels,1647-11-22,1648-06-13,"Newsbook; London, England",serial
Mercurius Bellicus the Fourth Intelligence from Reading,1643-05-01,1643-05-01,"Newsbook; London, England",serial
Mercurius Bifrons or the English Janus,1681-02-10,1681-02-24,"Newspaper; London, England",serial
Mercurius Britanicus Communicating the Affaires of Great Britaine,1643-08-23,1646-05-11,"Newsbook; London, England",serial
Mercurius Britanicus His Welcome to Hell,1647-01-01,1647-12-31,"Pamphlet; London, England",
Mercurius Britannicus Communicating His Most Impartial Intelligence from All Parts,1652-11-30,1652-11-30,"Newsbook; London, England",serial
Mercurius Britannicus or The Weekly Observator,1694-03-17,1694-03-17,"Newspaper; London, England",serial
Mercurius Cambro-Britannus the Brittish Mercury or The Welch Diurnall,1643-11-11,1645-01-17,"Newsbook; London, England",serial
Mercurius Candidus,1647-01-20,1647-01-20,"Newsbook; London, England",serial
Mercurius Censorius or Newes from the Isle of Wight,1648-06-01,1648-06-08,"Newsbook; London, England",serial
Mercurius Civicus Londons Intelligencer,1643-06-08,1646-04-23,"Newsbook; London, England",serial
Mercurius Civicus or A True Account of Affairs Both Foreign and Domestick,1680-03-22,1680-04-01,"Newspaper; London, England",serial
Mercurius Civicus or An Account of Affairs Both Forreign and Domestick,1680-04-03,1680-05-06,"Newspaper; London, England",serial
Mercurius Civicus or The Cities Intelligencer,1660-05-01,1660-05-01,"Newsbook; London, England",serial
Mercurius Civicus or The City Mercury,1680-06-04,1680-06-04,"Newspaper; London, England",serial
Mercurius Coelicus Or A Caveat to All the People of the Kingdome,1644-01-24,1644-01-24,"Pamphlet; London, England",
Mercurius Democritus or A Perfect Nocturnal,1659-05-03,1659-08-10,"Newsbook; London, England",serial
Mercurius Democritus or A True and Perfect Nocturnall,1652-04-07,1654-02-15,"Newsbook; London, England",serial
Mercurius Democritus or The Smoaking Nocturnal,1661-05-22,1661-05-28,"Newsbook; London, England",serial
Mercurius Diabolicus or Hells Intelligencer,1647-01-01,1647-12-31,"Pamphlet; London, England",
Mercurius Dogmaticus,1648-01-06,1648-01-06,"Newsbook; London, England",serial
Mercurius Elencticus (1647),1647-10-29,1648-12-26,"Newsbook; London, England",serial
Mercurius Elencticus (1649: Wharton),1649-05-14,1649-09-10,"Newsbook; London, England",serial
Mercurius Elencticus (31 January 1649),1649-01-31,1649-01-31,"Newsbook; London, England",serial
Mercurius Elencticus (for King Charls II),1649-04-30,1649-04-30,"Newsbook; London, England",serial
Mercurius Fumigosus or The Smoaking Nocturnal (1660),1660-01-11,1660-08-01,"Newsbook; London, England",serial
Mercurius Fumigosus or The Smoking Nocturnall (1654),1654-06-05,1655-09-12,"Newsbook; London, England",serial
Mercurius Honestus,1648-01-01,1648-12-31,"Serial; London, England",serial
Mercurius Impartialis or An Answer to That Treasonable Pamphlet Mercurius Militaris,1648-12-05,1648-12-05,"Newsbook; London, England",serial
Mercurius Infernus or News from the Other World,1680-03-04,1680-04-08,"Newspaper; London, England",serial
Mercurius Latinus,1746-03-15,1746-10-11,"Newspaper; London, England",serial
Mercurius Librarius or A Catalogue of Books,1669-11-22,1669-11-22,"Serial; London, England",serial
Mercurius Medicus or A Soveraigne Salve for These Sick Times,1647-10-11,1647-10-11,"Newsbook; London, England",serial
Mercurius Melancholicus for King Charles the Second,1649-05-31,1649-05-31,"Newsbook; London, England",serial
Mercurius Melancholicus or Newes from Westminster and Other Parts,1647-09-04,1648-09-18,"Newsbook; London, England",serial
Mercurius Militans,1648-01-01,1648-12-31,"Pamphlet; London, England",
Mercurius Militaris Communicating from All Parts of England Scotland & Ireland,1648-10-10,1648-10-10,"Newsbook; London, England",serial
Mercurius Militaris or Times Only Truth Teller,1649-05-22,1649-05-22,"Newsbook; London, England",serial
Mercurius Pacificus His Lectures of Concord,1648-01-01,1648-12-31,"Pamphlet; London, England",
Mercurius Pacificus Impartially Communicating unto the Commonwealth of England,1649-05-24,1649-05-24,"Newsbook; London, England",serial
Mercurius Phanaticus or Mercury Temporizing,1664-03-07,1664-03-07,"Newsbook; London, England",serial
Mercurius Philo-Monarchicus,1649-04-10,1649-05-14,"Newsbook; London, England",serial
Mercurius Politicus,1716-05-01,1716-05-31,"Serial; London, England",serial
Mercurius Politicus Comprising the Summ of All Intelligence,1650-06-06,1660-04-05,"Newsbook; London, England",serial
Mercurius Politicus or An Antidote to Popular Misrepresentations,1705-06-12,1705-12-01,"Serial; London, England",serial
Mercurius Pragmaticus (1647),1647-09-14,1649-03-27,"Newsbook; London, England",serial
Mercurius Pragmaticus (1652: Nedham),1652-06-29,1652-06-29,"Newsbook; London, England",serial
Mercurius Pragmaticus (1652: Sheppard),1652-05-18,1652-06-23,"Newsbook; London, England",serial
Mercurius Pragmaticus (1653),1653-07-15,1653-07-15,"Newsbook; London, England",serial
Mercurius Pragmaticus (for King Charles II),1649-04-17,1649-11-27,"Newsbook; London, England",serial
Mercurius Pragmaticus Revived,1651-06-10,1651-06-24,"Newsbook; London, England",serial
Mercurius Publicus Being a Summary of the Whole Weeks Intelligence,1680-02-21,1680-03-18,"Newspaper; London, England",serial
Mercurius Publicus Communicating Emergent Occurrences,1648-05-16,1648-05-16,"Newsbook; London, England",serial
Mercurius Publicus Comprising the Sum of Forraign Intelligence,1660-04-12,1663-08-13,"Newsbook; London, England",serial
Mercurius Reformatus or The New Observator,1689-05-15,1691-11-07,"Newspaper; London, England",serial
Mercurius Rusticus,1643-07-29,1643-07-29,"Newsbook; Oxford, England",serial
Mercurius Scoticus or The Royal Messenger,1651-09-23,1651-09-23,"Newsbook; London, England",serial
Mercurius Urbanicus or Newes from London and Westminster and Other Parts,1648-05-02,1648-05-02,"Newsbook; London, England",serial
Mercurius Vapulans or Naworth Stript and Whipt,1644-03-04,1644-03-04,"Pamphlet; London, England",
Mercurius Veridicus Communicating Such Intelligence,1644-02-27,1644-03-28,"Newsbook; London, England",serial
